Survived,Pclass,Sex,Age,Pronostico (edad)
0,3,0,22,26.80190455
1,1,1,38,34.73880968
1,3,1,26,19.00859299
1,1,1,35,34.73880968
0,3,0,35,26.80190455
0,1,0,54,42.53212123
0,3,0,2,26.80190455
1,3,1,27,19.00859299
1,2,1,14,26.87370134
1,3,1,4,19.00859299
1,1,1,58,34.73880968
0,3,0,20,26.80190455
0,3,0,39,26.80190455
0,3,1,14,25.34719913
1,2,1,55,26.87370134
0,3,0,2,26.80190455
0,3,1,31,25.34719913
0,2,0,35,34.66701289
1,2,0,34,28.32840675
1,3,1,15,19.00859299
1,1,0,28,36.19351509
0,3,1,8,25.34719913
1,3,1,38,19.00859299
0,1,0,19,42.53212123
0,1,0,40,42.53212123
0,2,0,66,34.66701289
0,1,0,28,42.53212123
0,1,0,42,42.53212123
0,3,0,21,26.80190455
0,3,1,18,25.34719913
1,3,1,14,19.00859299
0,3,1,40,25.34719913
0,2,1,27,33.21230747
1,2,1,3,26.87370134
1,3,1,19,19.00859299
0,3,1,18,25.34719913
0,3,0,7,26.80190455
0,3,0,21,26.80190455
1,1,1,49,34.73880968
1,2,1,29,26.87370134
0,1,0,65,42.53212123
1,2,1,21,26.87370134
0,3,0,28.5,26.80190455
1,2,1,5,26.87370134
0,3,0,11,26.80190455
0,3,0,22,26.80190455
1,1,1,38,34.73880968
0,1,0,45,42.53212123
0,3,0,4,26.80190455
1,2,1,29,26.87370134
0,3,0,19,26.80190455
1,3,1,17,19.00859299
0,3,0,26,26.80190455
0,2,0,32,34.66701289
0,3,1,16,25.34719913
0,2,0,21,34.66701289
0,3,0,26,26.80190455
1,3,0,32,20.46329841
0,3,0,25,26.80190455
1,2,0,0.83,28.32840675
1,3,1,30,19.00859299
0,3,0,22,26.80190455
1,3,0,29,20.46329841
0,1,0,28,42.53212123
1,2,1,17,26.87370134
1,3,1,33,19.00859299
0,3,0,16,26.80190455
1,1,1,23,34.73880968
0,3,0,24,26.80190455
0,3,0,29,26.80190455
0,3,0,20,26.80190455
0,1,0,46,42.53212123
0,3,0,26,26.80190455
0,3,0,59,26.80190455
0,1,0,71,42.53212123
1,1,0,23,36.19351509
1,2,1,34,26.87370134
0,2,0,34,34.66701289
0,3,1,28,25.34719913
0,1,0,21,42.53212123
0,3,0,33,26.80190455
0,3,0,37,26.80190455
0,3,0,28,26.80190455
1,3,1,21,19.00859299
0,3,0,38,26.80190455
0,1,0,47,42.53212123
0,3,1,14.5,25.34719913
0,3,0,22,26.80190455
0,3,1,20,25.34719913
0,3,1,17,25.34719913
0,3,0,21,26.80190455
0,3,0,70.5,26.80190455
0,2,0,29,34.66701289
0,1,0,24,42.53212123
0,3,1,2,25.34719913
0,2,0,21,34.66701289
0,2,0,32.5,34.66701289
1,2,1,32.5,26.87370134
0,1,0,54,42.53212123
1,3,0,12,20.46329841
1,3,0,24,20.46329841
0,3,0,45,26.80190455
0,3,0,33,26.80190455
0,3,0,20,26.80190455
0,3,1,47,25.34719913
1,2,1,29,26.87370134
0,2,0,25,34.66701289
0,2,0,23,34.66701289
1,1,1,19,34.73880968
0,1,0,37,42.53212123
0,3,0,16,26.80190455
0,1,0,24,42.53212123
1,3,1,22,19.00859299
1,3,1,24,19.00859299
0,3,0,19,26.80190455
0,2,0,18,34.66701289
0,2,0,19,34.66701289
1,3,0,27,20.46329841
0,3,1,9,25.34719913
0,2,0,36.5,34.66701289
0,2,0,42,34.66701289
0,2,0,51,34.66701289
1,1,1,22,34.73880968
0,3,0,55.5,26.80190455
0,3,0,40.5,26.80190455
0,1,0,51,42.53212123
1,3,1,16,19.00859299
0,3,0,30,26.80190455
0,3,0,44,26.80190455
1,2,1,40,26.87370134
0,3,0,26,26.80190455
0,3,0,17,26.80190455
0,3,0,1,26.80190455
1,3,0,9,20.46329841
0,3,1,45,25.34719913
0,3,0,28,26.80190455
0,1,0,61,42.53212123
0,3,0,4,26.80190455
1,3,1,1,19.00859299
0,3,0,21,26.80190455
0,1,0,56,42.53212123
0,3,0,18,26.80190455
0,1,1,50,41.07741582
0,2,0,30,34.66701289
0,3,0,36,26.80190455
0,3,0,9,26.80190455
1,2,0,1,28.32840675
1,3,1,4,19.00859299
1,1,0,45,36.19351509
0,3,0,40,26.80190455
0,3,0,36,26.80190455
1,2,1,32,26.87370134
0,2,0,19,34.66701289
1,3,1,19,19.00859299
1,2,0,3,28.32840675
1,1,1,44,34.73880968
1,1,1,58,34.73880968
0,3,0,42,26.80190455
0,2,1,24,33.21230747
0,3,0,28,26.80190455
0,3,0,34,26.80190455
0,3,0,45.5,26.80190455
1,3,0,18,20.46329841
0,3,1,2,25.34719913
0,3,0,32,26.80190455
1,3,0,26,20.46329841
1,3,1,16,19.00859299
1,1,0,40,36.19351509
0,3,0,24,26.80190455
1,2,1,35,26.87370134
0,3,0,22,26.80190455
0,2,0,30,34.66701289
1,1,1,31,34.73880968
1,3,1,27,19.00859299
0,2,0,42,34.66701289
1,1,1,32,34.73880968
0,2,0,30,34.66701289
1,3,0,16,20.46329841
0,2,0,27,34.66701289
0,3,0,51,26.80190455
1,1,0,38,36.19351509
0,3,0,22,26.80190455
1,2,0,19,28.32840675
0,3,0,20.5,26.80190455
0,2,0,18,34.66701289
1,1,1,35,34.73880968
0,3,0,29,26.80190455
0,2,0,59,34.66701289
1,3,1,5,19.00859299
0,2,0,24,34.66701289
0,2,0,44,34.66701289
1,2,1,8,26.87370134
0,2,0,19,34.66701289
0,2,0,33,34.66701289
0,2,0,29,34.66701289
0,3,0,22,26.80190455
0,3,0,30,26.80190455
0,1,0,44,42.53212123
0,3,1,25,25.34719913
1,2,1,24,26.87370134
1,1,0,37,36.19351509
0,2,0,54,34.66701289
0,3,1,29,25.34719913
0,1,0,62,42.53212123
0,3,0,30,26.80190455
0,3,1,41,25.34719913
1,3,1,29,19.00859299
1,1,1,30,34.73880968
1,1,1,35,34.73880968
1,2,1,50,26.87370134
1,3,0,3,20.46329841
0,1,0,52,42.53212123
0,1,0,40,42.53212123
0,2,0,36,34.66701289
0,3,0,16,26.80190455
1,3,0,25,20.46329841
1,1,1,58,34.73880968
1,1,1,35,34.73880968
1,3,0,25,20.46329841
1,2,1,41,26.87370134
0,1,0,37,42.53212123
1,1,1,63,34.73880968
0,3,1,45,25.34719913
0,3,0,7,26.80190455
1,3,1,35,19.00859299
0,3,0,65,26.80190455
0,3,0,28,26.80190455
0,3,0,16,26.80190455
1,3,0,19,20.46329841
0,3,0,33,26.80190455
1,3,0,30,20.46329841
0,3,0,22,26.80190455
1,2,0,42,28.32840675
1,3,1,22,19.00859299
1,1,1,26,34.73880968
1,1,1,19,34.73880968
0,2,0,36,34.66701289
0,3,1,24,25.34719913
0,3,0,24,26.80190455
0,3,0,23.5,26.80190455
0,1,1,2,41.07741582
1,1,1,50,34.73880968
0,3,0,19,26.80190455
1,1,0,0.92,36.19351509
1,1,1,17,34.73880968
0,2,0,30,34.66701289
1,1,1,30,34.73880968
1,1,1,24,34.73880968
1,1,1,18,34.73880968
0,2,1,26,33.21230747
0,3,0,28,26.80190455
0,2,0,43,34.66701289
1,3,1,26,19.00859299
1,2,1,24,26.87370134
0,2,0,54,34.66701289
1,1,1,31,34.73880968
1,1,1,40,34.73880968
0,3,0,22,26.80190455
0,3,0,27,26.80190455
1,2,1,30,26.87370134
1,2,1,22,26.87370134
1,1,1,36,34.73880968
0,3,0,61,26.80190455
1,2,1,36,26.87370134
1,3,1,31,19.00859299
1,1,1,16,34.73880968
0,1,0,45.5,42.53212123
0,1,0,38,42.53212123
0,3,0,16,26.80190455
0,1,0,29,42.53212123
1,1,1,41,34.73880968
1,3,0,45,20.46329841
0,1,0,45,42.53212123
1,2,0,2,28.32840675
1,1,1,24,34.73880968
0,2,0,28,34.66701289
0,2,0,25,34.66701289
0,2,0,36,34.66701289
1,2,1,24,26.87370134
1,2,1,40,26.87370134
1,3,0,3,20.46329841
0,3,0,42,26.80190455
0,3,0,23,26.80190455
0,3,0,15,26.80190455
0,3,0,25,26.80190455
0,3,0,28,26.80190455
1,1,1,22,34.73880968
0,2,1,38,33.21230747
0,3,0,40,26.80190455
0,2,0,29,34.66701289
0,3,1,45,25.34719913
0,3,0,35,26.80190455
0,3,0,30,26.80190455
1,1,1,60,34.73880968
1,1,1,24,34.73880968
1,1,0,25,36.19351509
0,3,0,18,26.80190455
0,3,0,19,26.80190455
0,1,0,22,42.53212123
0,3,1,3,25.34719913
1,3,1,22,19.00859299
0,1,0,27,42.53212123
0,3,0,20,26.80190455
0,3,0,19,26.80190455
1,1,1,42,34.73880968
1,3,1,1,19.00859299
0,3,0,32,26.80190455
1,1,1,35,34.73880968
0,2,0,18,34.66701289
0,3,0,1,26.80190455
1,2,1,36,26.87370134
1,2,1,17,26.87370134
1,1,0,36,36.19351509
1,3,0,21,20.46329841
0,3,0,28,26.80190455
1,1,1,23,34.73880968
1,3,1,24,19.00859299
0,3,0,22,26.80190455
0,3,1,31,25.34719913
0,2,0,46,34.66701289
0,2,0,23,34.66701289
1,2,1,28,26.87370134
1,3,0,39,20.46329841
0,3,0,26,26.80190455
0,3,1,21,25.34719913
0,3,0,28,26.80190455
0,3,1,20,25.34719913
0,2,0,34,34.66701289
0,3,0,51,26.80190455
1,2,0,3,28.32840675
0,3,0,21,26.80190455
1,1,1,33,34.73880968
1,3,0,44,20.46329841
1,2,1,34,26.87370134
1,2,1,18,26.87370134
0,2,0,30,34.66701289
0,3,1,10,25.34719913
0,3,0,21,26.80190455
0,3,0,29,26.80190455
0,3,1,28,25.34719913
0,3,0,18,26.80190455
1,2,1,28,26.87370134
1,2,1,19,26.87370134
1,3,0,32,20.46329841
1,1,0,28,36.19351509
1,2,1,42,26.87370134
0,3,0,17,26.80190455
0,1,0,50,42.53212123
1,1,1,14,34.73880968
0,3,1,21,25.34719913
1,2,1,24,26.87370134
0,1,0,64,42.53212123
0,2,0,31,34.66701289
1,2,1,45,26.87370134
0,3,0,20,26.80190455
0,3,0,25,26.80190455
1,2,1,28,26.87370134
1,1,0,4,36.19351509
1,2,1,13,26.87370134
1,1,0,34,36.19351509
1,3,1,5,19.00859299
1,1,0,52,36.19351509
0,2,0,36,34.66701289
0,1,0,30,42.53212123
1,1,0,49,36.19351509
1,3,0,29,20.46329841
0,1,0,65,42.53212123
1,2,1,50,26.87370134
1,1,0,48,36.19351509
0,3,0,34,26.80190455
0,1,0,47,42.53212123
0,2,0,48,34.66701289
0,3,0,38,26.80190455
0,1,0,56,42.53212123
1,3,1,0.75,19.00859299
0,3,0,38,26.80190455
1,2,1,33,26.87370134
1,2,1,23,26.87370134
0,3,1,22,25.34719913
0,2,0,34,34.66701289
0,3,0,29,26.80190455
0,3,0,22,26.80190455
1,3,1,2,19.00859299
0,3,0,9,26.80190455
0,3,0,50,26.80190455
1,3,1,63,19.00859299
1,1,0,25,36.19351509
1,1,1,35,34.73880968
0,1,0,58,42.53212123
0,3,0,30,26.80190455
1,3,0,9,20.46329841
0,3,0,21,26.80190455
0,1,0,55,42.53212123
0,1,0,71,42.53212123
0,3,0,21,26.80190455
1,1,1,54,34.73880968
0,1,1,25,41.07741582
0,3,0,24,26.80190455
0,3,0,17,26.80190455
0,3,1,21,25.34719913
0,3,1,37,25.34719913
1,1,1,16,34.73880968
0,1,0,18,42.53212123
1,2,1,33,26.87370134
0,3,0,28,26.80190455
1,3,0,26,20.46329841
1,3,0,29,20.46329841
1,1,0,36,36.19351509
1,1,1,54,34.73880968
0,3,0,24,26.80190455
0,1,0,47,42.53212123
1,2,1,34,26.87370134
1,2,1,36,26.87370134
0,3,0,32,26.80190455
1,1,1,30,34.73880968
0,3,0,22,26.80190455
1,1,1,44,34.73880968
0,3,0,40.5,26.80190455
1,2,1,50,26.87370134
0,3,0,39,26.80190455
0,2,0,23,34.66701289
1,2,1,2,26.87370134
0,3,0,17,26.80190455
0,3,1,30,25.34719913
1,2,1,7,26.87370134
0,1,0,45,42.53212123
1,1,1,30,34.73880968
1,1,1,22,34.73880968
1,1,1,36,34.73880968
0,3,1,9,25.34719913
0,3,1,11,25.34719913
1,2,0,32,28.32840675
0,1,0,50,42.53212123
0,1,0,64,42.53212123
1,2,1,19,26.87370134
0,3,0,33,26.80190455
1,2,0,8,28.32840675
1,1,0,17,36.19351509
0,2,0,27,34.66701289
1,3,0,22,20.46329841
1,3,1,22,19.00859299
0,1,0,62,42.53212123
1,1,1,48,34.73880968
1,1,1,39,34.73880968
1,3,1,36,19.00859299
0,3,0,40,26.80190455
0,2,0,28,34.66701289
0,3,0,24,26.80190455
0,3,0,19,26.80190455
0,3,1,29,25.34719913
1,3,0,32,20.46329841
1,2,0,62,28.32840675
1,1,1,53,34.73880968
1,1,0,36,36.19351509
0,3,0,16,26.80190455
0,3,0,19,26.80190455
1,2,1,34,26.87370134
1,1,1,39,34.73880968
1,3,0,32,20.46329841
1,2,1,25,26.87370134
1,1,1,39,34.73880968
0,2,0,54,34.66701289
0,1,0,36,42.53212123
1,1,1,18,34.73880968
0,2,0,47,34.66701289
1,1,0,60,36.19351509
0,3,0,22,26.80190455
0,3,0,35,26.80190455
1,1,1,52,34.73880968
0,3,0,47,26.80190455
0,2,0,37,34.66701289
0,3,0,36,26.80190455
0,3,0,49,26.80190455
1,1,0,49,36.19351509
1,2,1,24,26.87370134
0,3,0,44,26.80190455
1,1,0,35,36.19351509
0,3,0,36,26.80190455
0,3,0,30,26.80190455
1,1,0,27,36.19351509
1,2,1,22,26.87370134
1,1,1,40,34.73880968
0,3,1,39,25.34719913
0,3,0,35,26.80190455
1,2,1,24,26.87370134
0,3,0,34,26.80190455
0,3,1,26,25.34719913
1,2,1,4,26.87370134
0,2,0,26,34.66701289
0,3,0,27,26.80190455
1,1,0,42,36.19351509
1,3,0,20,20.46329841
0,3,0,21,26.80190455
0,3,0,21,26.80190455
0,1,0,61,42.53212123
0,2,0,57,34.66701289
1,1,1,21,34.73880968
0,3,0,26,26.80190455
1,1,0,80,36.19351509
0,3,0,51,26.80190455
1,1,0,32,36.19351509
0,3,1,9,25.34719913
1,2,1,28,26.87370134
0,3,0,32,26.80190455
0,2,0,31,34.66701289
0,3,1,41,25.34719913
0,3,0,20,26.80190455
1,1,1,24,34.73880968
0,3,1,2,25.34719913
1,3,1,0.75,19.00859299
1,1,0,48,36.19351509
0,3,0,19,26.80190455
1,1,0,56,36.19351509
1,3,1,23,19.00859299
1,2,1,18,26.87370134
0,3,0,21,26.80190455
0,3,1,18,25.34719913
0,2,0,24,34.66701289
0,3,1,32,25.34719913
0,2,0,23,34.66701289
0,1,0,58,42.53212123
1,1,0,50,36.19351509
0,3,0,40,26.80190455
0,1,0,47,42.53212123
0,3,0,36,26.80190455
1,3,0,20,20.46329841
0,2,0,32,34.66701289
0,2,0,25,34.66701289
0,3,0,43,26.80190455
1,2,1,40,26.87370134
0,1,0,31,42.53212123
0,2,0,70,34.66701289
1,2,0,31,28.32840675
0,3,0,18,26.80190455
0,3,0,24.5,26.80190455
1,3,1,18,19.00859299
0,3,1,43,25.34719913
1,1,0,36,36.19351509
1,1,0,27,36.19351509
0,3,0,20,26.80190455
0,3,0,14,26.80190455
0,2,0,60,34.66701289
0,2,0,25,34.66701289
0,3,0,14,26.80190455
0,3,0,19,26.80190455
0,3,0,18,26.80190455
1,1,1,15,34.73880968
1,1,0,31,36.19351509
1,3,1,4,19.00859299
0,3,0,25,26.80190455
0,1,0,60,42.53212123
0,2,0,52,34.66701289
0,3,0,44,26.80190455
0,1,0,49,42.53212123
0,3,0,42,26.80190455
1,1,1,18,34.73880968
1,1,0,35,36.19351509
0,3,1,18,25.34719913
0,3,0,25,26.80190455
0,3,0,26,26.80190455
0,2,0,39,34.66701289
1,2,1,45,26.87370134
1,1,0,42,36.19351509
1,1,1,22,34.73880968
1,1,1,24,34.73880968
1,1,0,48,36.19351509
0,3,0,29,26.80190455
0,2,0,52,34.66701289
0,3,0,19,26.80190455
1,1,1,38,34.73880968
1,2,1,27,26.87370134
0,3,0,33,26.80190455
1,2,1,6,26.87370134
0,3,0,17,26.80190455
0,2,0,34,34.66701289
0,2,0,50,34.66701289
1,1,0,27,36.19351509
0,3,0,20,26.80190455
1,2,1,30,26.87370134
0,2,0,25,34.66701289
0,3,1,25,25.34719913
1,1,1,29,34.73880968
0,3,0,11,26.80190455
0,2,0,23,34.66701289
0,2,0,23,34.66701289
0,3,0,28.5,26.80190455
0,3,1,48,25.34719913
1,1,0,35,36.19351509
0,1,0,36,42.53212123
1,1,1,21,34.73880968
0,3,0,24,26.80190455
1,3,0,31,20.46329841
0,1,0,70,42.53212123
0,3,0,16,26.80190455
1,2,1,30,26.87370134
0,1,0,19,42.53212123
0,3,0,31,26.80190455
1,2,1,4,26.87370134
1,3,0,6,20.46329841
0,3,0,33,26.80190455
0,3,0,23,26.80190455
1,2,1,48,26.87370134
1,2,0,0.67,28.32840675
0,3,0,28,26.80190455
0,2,0,18,34.66701289
